timestamp_ms,rssi,snr,FlightState,dual_board_connectivity_state_flag,recovery_checks_complete_and_flight_ready,GPS_fix_flag,payload_connection_flag,camera_controller_connection_flag,GPS_latitude,GPS_longitude,nav_status,qw,qx,qy,qz
45352,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9886,0.15037,-0.0044,0.0042
45354,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9886,0.1503,-0.00423,0.00403
45356,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9886,0.15023,-0.00407,0.00397
45358,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9887,0.14977,-0.00397,0.00407
45360,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9887,0.1496,-0.00407,0.004
45362,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98873,0.14953,-0.0043,0.0038
45364,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98877,0.14913,-0.00457,0.00373
45366,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98883,0.14883,-0.0047,0.00367
45368,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98883,0.1487,-0.00483,0.0035
45370,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9889,0.1484,-0.005,0.00323
45372,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98893,0.14803,-0.0051,0.00307
45374,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98897,0.14783,-0.005,0.0029
45376,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98903,0.14753,-0.00507,0.00283
45378,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98907,0.1472,-0.0052,0.00277
45380,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9891,0.147,-0.00513,0.00277
45382,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98913,0.14667,-0.00513,0.00287
45384,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9892,0.1463,-0.0052,0.00293
45386,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98923,0.1461,-0.00517,0.00287
45388,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98927,0.1458,-0.00513,0.00283
45390,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98933,0.14547,-0.00517,0.00273
45392,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98937,0.14523,-0.00527,0.00253
45394,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9894,0.145,-0.00543,0.00233
45396,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98943,0.1447,-0.0055,0.0022
45398,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98947,0.14443,-0.0056,0.00207
45400,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9895,0.1442,-0.0057,0.00193
45402,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98957,0.14387,-0.0057,0.00187
45404,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9896,0.14357,-0.0056,0.00183
45406,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98963,0.1433,-0.00553,0.0018
45408,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98967,0.14303,-0.00557,0.0018
45410,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98973,0.14273,-0.00553,0.00177
45412,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98977,0.14243,-0.0055,0.00173
45414,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9898,0.14217,-0.00557,0.00167
45416,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98983,0.1419,-0.0056,0.00157
45418,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9899,0.1416,-0.0056,0.00143
45420,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98993,0.1413,-0.0056,0.00133
