timestamp_ms,rssi,snr,FlightState,dual_board_connectivity_state_flag,recovery_checks_complete_and_flight_ready,GPS_fix_flag,payload_connection_flag,camera_controller_connection_flag,accel_low_x,accel_low_y,accel_low_z,accel_high_x,accel_high_y,accel_high_z,gyro_x,gyro_y,gyro_z,altitude,velocity,apogee_primary_test_complete,apogee_secondary_test_complete,apogee_primary_test_results,apogee_secondary_test_results,main_primary_test_complete,main_secondary_test_complete,main_primary_test_results,main_secondary_test_results,broadcast_flag
51186,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,-76.2,5.6,-0.7,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51188,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.06,-0.01,0,-0.06,-0.01,0,-76.5,5.6,-0.7,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51190,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.01,0,0,-0.01,0,0,-75.9,5.6,-0.4,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51192,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.05,-0.01,-0.01,-0.05,-0.01,-0.01,-76,5.8,-0.3,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51194,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,-76.2,5.6,-0.4,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51196,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.02,0,-0.01,-0.02,0,-0.01,-76.3,5.7,-0.6,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51198,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.01,0,0,-0.01,0,0,-75.9,5.9,-0.3,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51200,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.03,0,0,-0.03,0,0,-76.4,5.8,-0.6,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51202,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.06,0,0,-0.06,0,0,-76.1,5.9,-0.6,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51204,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.01,0,0,-0.01,0,-76.3,5.6,-0.4,489.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51206,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.04,0,-0.01,-0.04,0,-0.01,-76.3,5.4,-0.6,489.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51208,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.01,0,0,-0.01,0,-76.3,5.5,-0.3,489.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51210,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.06,0,0,-0.06,0,0,-76.3,5.4,-0.3,489.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51212,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.01,0,0.02,0.01,0,0.02,-76.5,5.5,-0.4,489.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51214,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.03,0,0,-0.03,0,0,-76.3,5.6,-0.4,489.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51216,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.01,0,0.01,-0.01,0,0.01,-76.4,5.7,-0.3,489.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51218,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.01,0.01,0,-0.01,0.01,-76.1,5.7,-0.7,489.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51220,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.07,-0.01,0,-0.07,-0.01,0,-76.3,5.8,-0.4,489.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51222,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,-76.3,5.5,-0.7,489.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51224,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.06,0,-0.01,-0.06,0,-0.01,-76.1,5.7,-0.2,489.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
